name,value
MBANK,"210,2000"
MBWS,"10,4000"
MCI,"15,9000"
MDIENERGIA,"2,0600"
MEDIACAP,"3,4900"
MEDICALG,"10,4000"
MEDINICE,"13,2400"
MEGARON,"13,9000"
MENNICA,"15,3000"
MERCATOR,"49,5000"
MERCOR,"13,1000"
MEXPOLSKA,"1,9050"
MFO,"33,6000"
MILKILAND,"0,8500"
MILLENNIUM,"3,4780"
MIRACULUM,"1,1800"
MIRBUD,"3,1900"
MLPGROUP,"70,4000"
MLSYSTEM,"52,0000"
MOBRUK,"300,5000"
MOJ,"1,9200"
MOL,"29,8000"
MOLECURE,"13,3800"
MONNARI,"3,6500"
MOSTALPLC,"18,3000"
MOSTALWAR,"4,7400"
MOSTALZAB,"1,9000"
MUZA,"6,1000"
MWTRADE,"5,1800"
NANOGROUP,"1,7060"
NETIA,"6,9400"
NEUCA,"660,0000"
NEWAG,"13,5500"
NEXITY,"2,8000"
NOVATURAS,"14,6980"
NOVAVISGR,"1,0950"
NOVITA,"102,0000"
NTCAPITAL,"2,2200"
NTTSYSTEM,"4,0600"
ODLEWNIE,"6,3000"
OEX,"31,0000"
ONDE,"8,2500"
ONDE-PDA,"26,9500"
OPENFIN,"0,0700"
OPONEO.PL,"32,8000"
OPTEAM,"8,3700"
ORANGEPL,"5,5200"
ORCOGROUP,"2,6900"
ORZBIALY,"18,6000"
OTLOG,"13,0000"
OTMUCHOW,"2,7000"
OVOSTAR,"49,0000"
PAMAPOL,"3,7400"
PANOVA,"11,8000"
PATENTUS,"1,5000"
PBG,"0,0280"
PBKM,"90,2000"
PBSFINANSE,"0,4800"
PCCEXOL,"3,0850"
PCCROKITA,"73,8000"
PCFGROUP,"40,5000"
PEKABEX,"11,9000"
PEKAO,"63,7000"
PEMANAGER,"18,5000"
PEP,"101,0000"
PEPCO,"30,1000"
PEPEES,"1,4200"
PETROLINV,"1,9400"
PGE,"6,4920"
PGE-PDA,"10,0000"
PGFGROUP,"0,4520"
PGNIG,"5,1200"
PGSSOFT,"17,9000"
PHARMENA,"6,0000"
PHN,"12,0000"
PHOTON,"11,4500"
PKNORLEN,"55,8400"
PKOBP,"22,9400"
PKPCARGO,"11,2000"
PLASTBOX,"2,6800"
PLAYWAY,"277,0000"
PLAZACNTR,"2,0000"
PMPG,"2,4400"
POLICE,"10,8000"
POLIMEXMS,"3,1480"
POLTREG,"34,8000"
POLTREG-PDA,"71,0000"
POLWAX,"3,0400"
PRAGMAFA,"24,3000"
PRAGMAINK,"3,2800"
PRIMAMODA,"1,1000"
PRIMETECH,"1,1500"
PROCAD,"2,4000"
PROCHEM,"35,0000"
PROJPRZEM,"8,0000"
PROTEKTOR,"2,1800"
PROVIDENT,"6,3000"
PULAWY,"69,6000"
PUNKPIRAT,"0,2720"
PURE,"32,1500"
PZU,"24,9200"
QUANTUM,"29,0000"
QUERCUS,"2,8000"
R22,"38,2500"
RADPOL,"1,9250"
RAFAKO,"1,4360"
RAFAMET,"15,6000"
RAINBOW,"17,1800"
RANKPROGR,"1,5000"
RAWLPLUG,"13,5000"
REDAN,"0,1900"
REINHOLD,"0,0895"
REINO,"1,3000"
RELPOL,"5,5400"
REMAK,"11,0000"
RESBUD,"0,5500"
RONSON,"2,4600"
ROPCZYCE,"28,9000"
RYVU,"36,0000"
SANOK,"12,5600"
SANPL,"208,4000"
SANTANDER,"12,6220"
SANWIL,"1,0700"
SATIS,"0,5090"
SECOGROUP,"17,0000"
SEKO,"6,0500"
SELENAFM,"19,3500"
SELVITA,"88,4000"
SERINUS,"5,8000"
SESCOM,"25,0000"
SFINKS,"0,3890"
SHOPER,"34,1000"
SILVAIR-REGS,"5,0000"
SILVANO,"4,4000"
SIMFABRIC,"10,7500"
SIMPLE,"12,3000"
SKARBIEC,"18,9000"
SKOTAN,"1,1200"
SKYLINE,"0,6400"
SLEEPZAG,"0,2920"
SNIEZKA,"62,0000"
SOHODEV,"0,6300"
SOLAR,"4,8600"
SONEL,"9,6000"
SOPHARMA,"10,0000"
SPYROSOFT,"319,0000"
STALEXP,"2,5500"
STALPROD,"225,5000"
STALPROFI,"8,7400"
STAPORKOW,"3,3200"
STARHEDGE,"0,3230"
STSHOLDING,"14,1000"
SUNEX,"18,1500"
SUWARY,"33,2000"
SWISSMED,"10,9000"
SYGNITY,"22,0000"
SYNEKTIK,"31,6000"
TALANX,"170,0000"
TALEX,"12,9000"
TARCZYNSKI,"38,4000"
TATRY,"146,0000"
TAURONPE,"2,1150"
TBULL,"9,0000"
TERMOREX,"0,6000"
TESGAS,"3,2100"
TIM,"26,1000"
TORPOL,"16,3800"
TOWERINVT,"8,9000"
TOYA,"4,6300"
TRAKCJA,"1,6640"
TRANSPOL,"3,1600"
TRITON,"4,3000"
TSGAMES,"104,8000"
ULMA,"53,8000"
ULTGAMES,"16,3800"
UNIBEP,"6,9000"
UNICREDIT,"52,4000"
UNIMA,"4,1000"
UNIMOT,"58,0000"
URSUS,"0,1324"
VENTUREIN,"3,0000"
VERCOM,"31,5000"
VERCOM-PDA,"51,9000"
VIGOSYS,"439,0000"
VINDEXUS,"6,1200"
VISTAL,"0,9330"
VIVID,"1,0150"
VOTUM,"34,3000"
VOXEL,"33,3000"
VRG,"3,3000"
WARIMPEX,"3,1000"
WASKO,"1,6700"
WAWEL,"415,0000"
WIELTON,"6,1000"
WIKANA,"3,2500"
WINVEST,"0,2400"
WIRTUALNA,"95,0000"
WITTCHEN,"16,1000"
WOJAS,"4,6000"
XTB,"21,0000"
XTPL,"58,0000"
YOLO,"0,5800"
ZAMET,"0,9780"
ZEPAK,"18,8000"
ZPUE,"283,0000"
ZREMB,"1,9500"
ZUE,"3,7000"
ZYWIEC,"477,0000"
